,freq_items,frequency
3051,'108'  '242'  '486'  '8'  '958',218
3052,'108'  '242'  '486'  '684'  '8'  '958',215
3053,'108'  '242'  '684'  '8'  '958',220
3054,'242'  '486'  '8'  '958',224
3055,'242'  '486'  '684'  '8'  '958',221
3056,'242'  '684'  '8'  '958',226
3057,'108'  '242'  '71'  '75'  '8'  '958',207
3058,'108'  '242'  '684'  '71'  '75'  '8'  '958',205
3059,'108'  '242'  '486'  '71'  '75'  '8'  '958',203
3060,'108'  '242'  '486'  '684'  '71'  '75'  '8'  '958',201
3061,'242'  '486'  '684'  '71'  '75'  '8'  '958',205
3062,'242'  '684'  '71'  '75'  '8'  '958',209
3063,'108'  '242'  '486'  '75'  '8'  '958',210
3064,'108'  '242'  '486'  '684'  '75'  '8'  '958',208
3065,'108'  '242'  '684'  '75'  '8'  '958',212
3066,'242'  '486'  '75'  '8'  '958',215
3067,'242'  '486'  '684'  '75'  '8'  '958',213
3068,'242'  '684'  '75'  '8'  '958',217
3069,'108'  '242'  '71'  '75'  '766'  '8'  '958',199
3070,'108'  '242'  '684'  '71'  '75'  '766'  '8'  '958',197
3071,'108'  '242'  '486'  '71'  '75'  '766'  '8'  '958',195
3072,'108'  '242'  '486'  '684'  '71'  '75'  '766'  '8'  '958',193
3073,'242'  '486'  '684'  '71'  '75'  '766'  '8'  '958',197
3074,'242'  '684'  '71'  '75'  '766'  '8'  '958',201
3075,'108'  '242'  '486'  '75'  '766'  '8'  '958',202
3076,'108'  '242'  '486'  '684'  '75'  '766'  '8'  '958',200
3077,'108'  '242'  '684'  '75'  '766'  '8'  '958',204
3078,'242'  '486'  '75'  '766'  '8'  '958',207
3079,'242'  '486'  '684'  '75'  '766'  '8'  '958',205
3080,'242'  '684'  '75'  '766'  '8'  '958',209
3081,'108'  '486'  '71'  '75'  '766'  '8'  '958',202
3082,'108'  '486'  '684'  '71'  '75'  '766'  '8'  '958',200
3083,'108'  '684'  '71'  '75'  '766'  '8'  '958',204
3084,'486'  '71'  '75'  '766'  '8'  '958',208
3085,'486'  '684'  '71'  '75'  '766'  '8'  '958',206
3086,'684'  '71'  '75'  '766'  '8'  '958',210
3087,'108'  '486'  '75'  '766'  '8'  '958',209
3088,'108'  '486'  '684'  '75'  '766'  '8'  '958',207
3089,'108'  '684'  '75'  '766'  '8'  '958',211
3090,'486'  '75'  '766'  '8'  '958',216
3091,'486'  '684'  '75'  '766'  '8'  '958',214
3092,'684'  '75'  '766'  '8'  '958',218
3093,'108'  '486'  '75'  '8'  '958',218
3094,'108'  '486'  '684'  '75'  '8'  '958',215
3095,'108'  '684'  '75'  '8'  '958',219
3096,'108'  '486'  '71'  '75'  '8'  '958',211
3097,'108'  '486'  '684'  '71'  '75'  '8'  '958',208
3098,'108'  '684'  '71'  '75'  '8'  '958',212
3099,'486'  '71'  '75'  '8'  '958',217
3100,'486'  '684'  '71'  '75'  '8'  '958',214
3101,'684'  '71'  '75'  '8'  '958',218
3102,'486'  '75'  '8'  '958',225
3103,'486'  '684'  '75'  '8'  '958',222
3104,'684'  '75'  '8'  '958',226
3105,'108'  '438'  '486'  '71'  '75'  '766'  '8'  '958',196
3106,'108'  '438'  '486'  '684'  '71'  '75'  '766'  '8'  '958',194
3107,'108'  '438'  '684'  '71'  '75'  '766'  '8'  '958',197
3108,'108'  '438'  '486'  '75'  '766'  '8'  '958',201
3109,'108'  '438'  '486'  '684'  '75'  '766'  '8'  '958',199
3110,'108'  '438'  '684'  '75'  '766'  '8'  '958',202
3111,'438'  '486'  '71'  '75'  '766'  '8'  '958',202
3112,'438'  '486'  '684'  '71'  '75'  '766'  '8'  '958',200
3113,'438'  '684'  '71'  '75'  '766'  '8'  '958',203
3114,'438'  '486'  '75'  '766'  '8'  '958',207
3115,'438'  '486'  '684'  '75'  '766'  '8'  '958',205
3116,'438'  '684'  '75'  '766'  '8'  '958',208
3117,'108'  '438'  '684'  '71'  '75'  '8'  '958',204
3118,'108'  '438'  '486'  '71'  '75'  '8'  '958',204
3119,'108'  '438'  '486'  '684'  '71'  '75'  '8'  '958',201
3120,'108'  '438'  '486'  '75'  '8'  '958',209
3121,'108'  '438'  '684'  '75'  '8'  '958',209
3122,'108'  '438'  '486'  '684'  '75'  '8'  '958',206
3123,'438'  '486'  '71'  '75'  '8'  '958',210
3124,'438'  '684'  '71'  '75'  '8'  '958',210
3125,'438'  '486'  '684'  '71'  '75'  '8'  '958',207
3126,'438'  '684'  '75'  '8'  '958',215
3127,'438'  '486'  '75'  '8'  '958',215
3128,'438'  '486'  '684'  '75'  '8'  '958',212
3129,'108'  '242'  '438'  '486'  '71'  '75'  '766'  '8'  '958',189
3130,'108'  '242'  '438'  '486'  '684'  '71'  '75'  '766'  '8'  '958',187
3131,'108'  '242'  '438'  '684'  '71'  '75'  '766'  '8'  '958',190
3132,'242'  '438'  '486'  '71'  '75'  '766'  '8'  '958',193
3133,'242'  '438'  '486'  '684'  '71'  '75'  '766'  '8'  '958',191
3134,'242'  '438'  '684'  '71'  '75'  '766'  '8'  '958',194
3135,'108'  '242'  '438'  '486'  '75'  '766'  '8'  '958',194
3136,'108'  '242'  '438'  '486'  '684'  '75'  '766'  '8'  '958',192
3137,'108'  '242'  '438'  '684'  '75'  '766'  '8'  '958',195
3138,'242'  '438'  '486'  '75'  '766'  '8'  '958',198
3139,'242'  '438'  '486'  '684'  '75'  '766'  '8'  '958',196
3140,'242'  '438'  '684'  '75'  '766'  '8'  '958',199
3141,'242'  '438'  '486'  '71'  '75'  '8'  '958',200
3142,'242'  '438'  '486'  '684'  '71'  '75'  '8'  '958',198
3143,'242'  '438'  '684'  '71'  '75'  '8'  '958',201
3144,'108'  '242'  '438'  '486'  '71'  '75'  '8'  '958',196
3145,'108'  '242'  '438'  '486'  '684'  '71'  '75'  '8'  '958',194
3146,'108'  '242'  '438'  '684'  '71'  '75'  '8'  '958',197
3147,'108'  '242'  '438'  '486'  '75'  '8'  '958',201
3148,'108'  '242'  '438'  '486'  '684'  '75'  '8'  '958',199
3149,'108'  '242'  '438'  '684'  '75'  '8'  '958',202
3150,'242'  '438'  '486'  '75'  '8'  '958',205
3151,'242'  '438'  '486'  '684'  '75'  '8'  '958',203
3152,'242'  '438'  '684'  '75'  '8'  '958',206
3153,'108'  '242'  '438'  '486'  '71'  '766'  '8'  '958',196
3154,'108'  '242'  '438'  '486'  '684'  '71'  '766'  '8'  '958',193
3155,'108'  '242'  '438'  '684'  '71'  '766'  '8'  '958',197
3156,'242'  '438'  '486'  '71'  '766'  '8'  '958',201
3157,'242'  '438'  '486'  '684'  '71'  '766'  '8'  '958',198
3158,'242'  '438'  '684'  '71'  '766'  '8'  '958',202
3159,'108'  '242'  '438'  '486'  '766'  '8'  '958',202
3160,'108'  '242'  '438'  '486'  '684'  '766'  '8'  '958',199
3161,'108'  '242'  '438'  '684'  '766'  '8'  '958',203
3162,'242'  '438'  '486'  '766'  '8'  '958',207
3163,'242'  '438'  '486'  '684'  '766'  '8'  '958',204
3164,'242'  '438'  '684'  '766'  '8'  '958',208
3165,'108'  '242'  '438'  '486'  '8'  '958',209
3166,'108'  '242'  '438'  '486'  '684'  '8'  '958',206
3167,'108'  '242'  '438'  '684'  '8'  '958',210
3168,'108'  '242'  '438'  '486'  '71'  '8'  '958',203
3169,'108'  '242'  '438'  '486'  '684'  '71'  '8'  '958',200
3170,'108'  '242'  '438'  '684'  '71'  '8'  '958',204
3171,'242'  '438'  '486'  '71'  '8'  '958',208
3172,'242'  '438'  '486'  '684'  '71'  '8'  '958',205
3173,'242'  '438'  '684'  '71'  '8'  '958',209
3174,'242'  '438'  '486'  '8'  '958',214
3175,'242'  '438'  '486'  '684'  '8'  '958',211
3176,'242'  '438'  '684'  '8'  '958',215
3177,'438'  '486'  '71'  '766'  '8'  '958',211
3178,'438'  '486'  '684'  '71'  '766'  '8'  '958',208
3179,'438'  '684'  '71'  '766'  '8'  '958',212
3180,'438'  '486'  '766'  '8'  '958',217
3181,'438'  '486'  '684'  '766'  '8'  '958',214
3182,'438'  '684'  '766'  '8'  '958',218
3183,'108'  '438'  '486'  '71'  '766'  '8'  '958',203
3184,'108'  '438'  '486'  '684'  '71'  '766'  '8'  '958',200
3185,'108'  '438'  '684'  '71'  '766'  '8'  '958',204
3186,'108'  '438'  '486'  '766'  '8'  '958',209
3187,'108'  '438'  '486'  '684'  '766'  '8'  '958',206
3188,'108'  '438'  '684'  '766'  '8'  '958',210
3189,'108'  '438'  '486'  '71'  '8'  '958',211
3190,'108'  '438'  '684'  '71'  '8'  '958',211
3191,'108'  '438'  '486'  '684'  '71'  '8'  '958',207
3192,'108'  '438'  '684'  '8'  '958',217
3193,'108'  '438'  '486'  '8'  '958',217
3194,'108'  '438'  '486'  '684'  '8'  '958',213
3195,'438'  '684'  '71'  '8'  '958',219
3196,'438'  '486'  '71'  '8'  '958',219
3197,'438'  '486'  '684'  '71'  '8'  '958',215
3198,'438'  '486'  '8'  '958',225
3199,'438'  '684'  '8'  '958',225
3200,'438'  '486'  '684'  '8'  '958',221
3201,'108'  '486'  '71'  '8'  '958',218
3202,'108'  '486'  '684'  '71'  '8'  '958',214
3203,'108'  '684'  '71'  '8'  '958',219
3204,'108'  '486'  '8'  '958',226
3205,'108'  '486'  '684'  '8'  '958',222
3206,'108'  '684'  '8'  '958',227
3207,'108'  '486'  '766'  '8'  '958',217
3208,'108'  '486'  '684'  '766'  '8'  '958',214
3209,'108'  '684'  '766'  '8'  '958',219
3210,'108'  '486'  '71'  '766'  '8'  '958',209
3211,'108'  '486'  '684'  '71'  '766'  '8'  '958',206
3212,'108'  '684'  '71'  '766'  '8'  '958',211
3213,'486'  '71'  '766'  '8'  '958',217
3214,'486'  '684'  '71'  '766'  '8'  '958',214
3215,'684'  '71'  '766'  '8'  '958',219
3216,'486'  '766'  '8'  '958',226
3217,'486'  '684'  '766'  '8'  '958',223
3218,'684'  '766'  '8'  '958',228
3219,'486'  '71'  '8'  '958',226
3220,'486'  '684'  '71'  '8'  '958',222
3221,'684'  '71'  '8'  '958',227
3222,'486'  '8'  '958',235
3223,'486'  '684'  '8'  '958',231
3224,'684'  '8'  '958',236
3225,'108'  '438'  '486'  '71'  '766'  '958',213
3226,'108'  '438'  '486'  '684'  '71'  '766'  '958',210
3227,'108'  '438'  '684'  '71'  '766'  '958',214
3228,'108'  '438'  '486'  '766'  '958',219
3229,'108'  '438'  '486'  '684'  '766'  '958',216
3230,'108'  '438'  '684'  '766'  '958',220
3231,'108'  '438'  '486'  '71'  '75'  '766'  '958',206
3232,'108'  '438'  '486'  '684'  '71'  '75'  '766'  '958',204
3233,'108'  '438'  '684'  '71'  '75'  '766'  '958',207
3234,'108'  '438'  '486'  '75'  '766'  '958',211
3235,'108'  '438'  '486'  '684'  '75'  '766'  '958',209
3236,'108'  '438'  '684'  '75'  '766'  '958',212
3237,'108'  '438'  '486'  '71'  '75'  '958',214
3238,'108'  '438'  '486'  '684'  '71'  '75'  '958',211
3239,'108'  '438'  '684'  '71'  '75'  '958',215
3240,'108'  '438'  '486'  '75'  '958',219
3241,'108'  '438'  '486'  '684'  '75'  '958',216
3242,'108'  '438'  '684'  '75'  '958',220
3243,'108'  '242'  '438'  '486'  '71'  '75'  '766'  '958',199
3244,'108'  '242'  '438'  '486'  '684'  '71'  '75'  '766'  '958',197
3245,'108'  '242'  '438'  '684'  '71'  '75'  '766'  '958',200
3246,'108'  '242'  '438'  '486'  '75'  '766'  '958',204
3247,'108'  '242'  '438'  '486'  '684'  '75'  '766'  '958',202
3248,'108'  '242'  '438'  '684'  '75'  '766'  '958',205
3249,'108'  '242'  '438'  '486'  '71'  '75'  '958',206
3250,'108'  '242'  '438'  '486'  '684'  '71'  '75'  '958',204
3251,'108'  '242'  '438'  '684'  '71'  '75'  '958',207
3252,'108'  '242'  '438'  '486'  '75'  '958',211
3253,'108'  '242'  '438'  '486'  '684'  '75'  '958',209
3254,'108'  '242'  '438'  '684'  '75'  '958',212
3255,'108'  '242'  '438'  '486'  '71'  '766'  '958',206
3256,'108'  '242'  '438'  '486'  '684'  '71'  '766'  '958',203
3257,'108'  '242'  '438'  '684'  '71'  '766'  '958',207
3258,'108'  '242'  '438'  '486'  '766'  '958',212
3259,'108'  '242'  '438'  '486'  '684'  '766'  '958',209
3260,'108'  '242'  '438'  '684'  '766'  '958',213
3261,'108'  '242'  '438'  '486'  '71'  '958',213
3262,'108'  '242'  '438'  '486'  '684'  '71'  '958',210
3263,'108'  '242'  '438'  '684'  '71'  '958',214
3264,'108'  '242'  '438'  '486'  '958',219
3265,'108'  '242'  '438'  '486'  '684'  '958',216
3266,'108'  '242'  '438'  '684'  '958',220
3267,'108'  '438'  '486'  '71'  '958',221
3268,'108'  '438'  '486'  '684'  '71'  '958',217
3269,'108'  '438'  '684'  '71'  '958',222
3270,'108'  '438'  '486'  '958',227
3271,'108'  '438'  '486'  '684'  '958',223
3272,'108'  '438'  '684'  '958',228
3273,'108'  '486'  '71'  '75'  '766'  '958',213
3274,'108'  '486'  '684'  '71'  '75'  '766'  '958',211
3275,'108'  '684'  '71'  '75'  '766'  '958',215
3276,'108'  '242'  '486'  '71'  '75'  '766'  '958',206
3277,'108'  '242'  '486'  '684'  '71'  '75'  '766'  '958',204
3278,'108'  '242'  '684'  '71'  '75'  '766'  '958',208
3279,'108'  '242'  '486'  '75'  '766'  '958',213
3280,'108'  '242'  '486'  '684'  '75'  '766'  '958',211
3281,'108'  '242'  '684'  '75'  '766'  '958',215
3282,'108'  '486'  '75'  '766'  '958',220
3283,'108'  '486'  '684'  '75'  '766'  '958',218
3284,'108'  '684'  '75'  '766'  '958',222
3285,'108'  '242'  '486'  '71'  '766'  '958',213
3286,'108'  '242'  '486'  '684'  '71'  '766'  '958',210
3287,'108'  '242'  '684'  '71'  '766'  '958',215
3288,'108'  '486'  '71'  '766'  '958',220
3289,'108'  '486'  '684'  '71'  '766'  '958',217
3290,'108'  '684'  '71'  '766'  '958',222
3291,'108'  '242'  '486'  '766'  '958',221
3292,'108'  '242'  '486'  '684'  '766'  '958',218
3293,'108'  '242'  '684'  '766'  '958',223
3294,'108'  '486'  '766'  '958',228
3295,'108'  '486'  '684'  '766'  '958',225
3296,'108'  '684'  '766'  '958',230
3297,'108'  '242'  '486'  '71'  '958',221
3298,'108'  '242'  '486'  '684'  '71'  '958',218
3299,'108'  '242'  '684'  '71'  '958',223
3300,'108'  '242'  '486'  '958',229
3301,'108'  '242'  '486'  '684'  '958',226
3302,'108'  '242'  '684'  '958',231
3303,'108'  '242'  '486'  '71'  '75'  '958',214
3304,'108'  '242'  '486'  '684'  '71'  '75'  '958',212
3305,'108'  '242'  '684'  '71'  '75'  '958',216
3306,'108'  '242'  '486'  '75'  '958',221
3307,'108'  '242'  '486'  '684'  '75'  '958',219
3308,'108'  '242'  '684'  '75'  '958',223
3309,'108'  '486'  '71'  '75'  '958',222
3310,'108'  '486'  '684'  '71'  '75'  '958',219
3311,'108'  '684'  '71'  '75'  '958',224
3312,'108'  '486'  '75'  '958',229
3313,'108'  '486'  '684'  '75'  '958',226
3314,'108'  '684'  '75'  '958',231
3315,'108'  '486'  '71'  '958',229
3316,'108'  '486'  '684'  '71'  '958',225
3317,'108'  '684'  '71'  '958',231
3318,'108'  '486'  '958',237
3319,'108'  '486'  '684'  '958',233
3320,'108'  '684'  '958',239
3321,'242'  '438'  '486'  '71'  '75'  '766'  '958',204
3322,'242'  '438'  '486'  '684'  '71'  '75'  '766'  '958',202
3323,'242'  '438'  '684'  '71'  '75'  '766'  '958',205
3324,'242'  '438'  '486'  '75'  '766'  '958',209
3325,'242'  '438'  '486'  '684'  '75'  '766'  '958',207
3326,'242'  '438'  '684'  '75'  '766'  '958',210
3327,'242'  '438'  '486'  '71'  '75'  '958',211
3328,'242'  '438'  '486'  '684'  '71'  '75'  '958',209
3329,'242'  '438'  '684'  '71'  '75'  '958',212
3330,'242'  '438'  '486'  '75'  '958',216
3331,'242'  '438'  '486'  '684'  '75'  '958',214
3332,'242'  '438'  '684'  '75'  '958',217
3333,'242'  '438'  '486'  '71'  '766'  '958',212
3334,'242'  '438'  '486'  '684'  '71'  '766'  '958',209
3335,'242'  '438'  '684'  '71'  '766'  '958',213
3336,'242'  '438'  '486'  '766'  '958',218
3337,'242'  '438'  '486'  '684'  '766'  '958',215
3338,'242'  '438'  '684'  '766'  '958',219
3339,'242'  '438'  '486'  '71'  '958',219
3340,'242'  '438'  '486'  '684'  '71'  '958',216
3341,'242'  '438'  '684'  '71'  '958',220
3342,'242'  '438'  '486'  '958',225
3343,'242'  '438'  '486'  '684'  '958',222
3344,'242'  '438'  '684'  '958',226
3345,'242'  '486'  '766'  '958',228
3346,'242'  '486'  '684'  '766'  '958',225
3347,'242'  '684'  '766'  '958',230
3348,'242'  '486'  '71'  '766'  '958',219
3349,'242'  '486'  '684'  '71'  '766'  '958',216
3350,'242'  '684'  '71'  '766'  '958',221
3351,'242'  '486'  '71'  '958',227
3352,'242'  '486'  '684'  '71'  '958',224
3353,'242'  '684'  '71'  '958',229
3354,'242'  '486'  '71'  '75'  '766'  '958',211
3355,'242'  '486'  '684'  '71'  '75'  '766'  '958',209
3356,'242'  '684'  '71'  '75'  '766'  '958',213
3357,'242'  '486'  '75'  '766'  '958',219
3358,'242'  '486'  '684'  '75'  '766'  '958',217
3359,'242'  '684'  '75'  '766'  '958',221
3360,'242'  '486'  '71'  '75'  '958',219
3361,'242'  '486'  '684'  '71'  '75'  '958',217
3362,'242'  '684'  '71'  '75'  '958',221
3363,'242'  '486'  '75'  '958',227
3364,'242'  '486'  '684'  '75'  '958',225
3365,'242'  '684'  '75'  '958',229
3366,'242'  '486'  '958',236
3367,'242'  '486'  '684'  '958',233
3368,'242'  '684'  '958',238
3369,'486'  '71'  '75'  '766'  '958',221
3370,'486'  '684'  '71'  '75'  '766'  '958',218
3371,'684'  '71'  '75'  '766'  '958',222
3372,'486'  '75'  '766'  '958',229
3373,'486'  '684'  '75'  '766'  '958',226
3374,'684'  '75'  '766'  '958',230
3375,'438'  '486'  '71'  '75'  '766'  '958',214
3376,'438'  '684'  '71'  '75'  '766'  '958',214
3377,'438'  '486'  '684'  '71'  '75'  '766'  '958',211
3378,'438'  '684'  '75'  '766'  '958',219
3379,'438'  '486'  '75'  '766'  '958',219
3380,'438'  '486'  '684'  '75'  '766'  '958',216
3381,'438'  '684'  '71'  '766'  '958',223
3382,'438'  '486'  '71'  '766'  '958',223
3383,'438'  '486'  '684'  '71'  '766'  '958',219
3384,'438'  '486'  '766'  '958',229
3385,'438'  '684'  '766'  '958',229
3386,'438'  '486'  '684'  '766'  '958',225
3387,'486'  '71'  '766'  '958',230
3388,'486'  '684'  '71'  '766'  '958',226
3389,'684'  '71'  '766'  '958',231
3390,'486'  '766'  '958',239
3391,'486'  '684'  '766'  '958',235
3392,'684'  '766'  '958',241
3393,'438'  '486'  '75'  '958',227
3394,'438'  '486'  '684'  '75'  '958',223
3395,'438'  '684'  '75'  '958',228
3396,'486'  '75'  '958',238
3397,'486'  '684'  '75'  '958',234
3398,'684'  '75'  '958',240
3399,'438'  '486'  '71'  '75'  '958',222
3400,'438'  '684'  '71'  '75'  '958',222
3401,'438'  '486'  '684'  '71'  '75'  '958',218
3402,'486'  '71'  '75'  '958',230
3403,'486'  '684'  '71'  '75'  '958',226
3404,'684'  '71'  '75'  '958',231
3405,'438'  '486'  '71'  '958',231
3406,'438'  '684'  '71'  '958',231
3407,'438'  '486'  '684'  '71'  '958',226
3408,'486'  '71'  '958',239
3409,'486'  '684'  '71'  '958',234
3410,'684'  '71'  '958',240
3411,'438'  '486'  '958',237
3412,'438'  '486'  '684'  '958',232
3413,'486'  '684'  '958',243
3414,'438'  '958',253
3415,'438'  '684'  '958',239
3416,'684'  '958',256
3417,'778'  '972',113
3418,'736'  '778'  '972',107
3419,'579'  '972',119
3420,'579'  '736'  '972',102
3421,'736'  '972',121
3422,'231'  '524',152
3423,'231'  '25'  '524',142
3424,'25'  '524',164
3425,'524'  '573'  '922',227
3426,'364'  '524'  '922',227
3427,'364'  '524'  '573'  '922',220
3428,'364'  '524',240
3429,'524'  '573',240
3430,'364'  '524'  '573',231
3431,'45'  '453'  '541'  '920',100
3432,'45'  '453'  '920'  '937',101
3433,'453'  '920'  '937',105
3434,'453'  '541'  '920',105
3435,'453'  '541'  '920'  '937',102
3436,'45'  '453'  '884',102
3437,'45'  '453'  '884'  '937',100
3438,'453'  '541'  '884',103
3439,'453'  '541'  '884'  '937',100
3440,'453'  '884'  '937',105
3441,'45'  '453'  '541',108
3442,'45'  '453'  '541'  '937',106
3443,'45'  '453'  '937',110
3444,'453'  '541',124
3445,'453'  '937',124
3446,'453'  '541'  '937',112
3447,'453'  '526',194
3448,'460'  '671',101
3449,'671'  '8',117
3450,'240'  '671'  '982',196
3451,'240'  '598'  '671'  '982',191
3452,'240'  '671'  '982'  '991',189
3453,'240'  '598'  '671'  '982'  '991',186
3454,'240'  '598'  '671'  '991',192
3455,'171'  '240'  '671'  '991',187
3456,'171'  '240'  '598'  '671'  '991',183
3457,'171'  '240'  '671'  '982'  '991',180
3458,'171'  '240'  '598'  '671'  '982'  '991',177
3459,'171'  '240'  '598'  '671'  '982',182
3460,'171'  '240'  '598'  '671',189
3461,'240'  '598'  '671',198
3462,'171'  '671',207
3463,'171'  '598'  '671',198
3464,'171'  '671'  '991',196
3465,'171'  '598'  '671'  '991',192
3466,'598'  '671'  '991',202
3467,'171'  '671'  '982'  '991',189
3468,'171'  '598'  '671'  '982'  '991',186
3469,'171'  '598'  '671'  '982',191
3470,'671'  '982'  '991',199
3471,'598'  '671'  '982'  '991',196
3472,'598'  '671'  '982',201
3473,'598'  '671',213
3474,'413'  '634'  '783'  '837'  '942',284
3475,'276'  '413'  '634'  '783'  '837'  '942',281
3476,'276'  '634'  '783'  '837'  '942',288
3477,'299'  '413'  '634'  '783'  '837'  '942',274
3478,'276'  '299'  '413'  '634'  '783'  '837'  '942',272
3479,'276'  '299'  '634'  '783'  '837'  '942',278
3480,'299'  '413'  '783'  '837'  '942',285
3481,'276'  '299'  '413'  '783'  '837'  '942',281
3482,'276'  '299'  '783'  '837'  '942',287
3483,'413'  '783'  '837'  '942',296
3484,'276'  '413'  '783'  '837'  '942',291
3485,'276'  '783'  '837'  '942',298
3486,'299'  '413'  '634'  '837'  '942',286
3487,'276'  '299'  '413'  '634'  '837'  '942',284
3488,'276'  '299'  '634'  '837'  '942',291
3489,'413'  '634'  '837'  '942',296
3490,'276'  '413'  '634'  '837'  '942',293
3491,'276'  '634'  '837'  '942',301
3492,'299'  '413'  '837'  '942',298
3493,'276'  '299'  '413'  '837'  '942',294
3494,'276'  '299'  '837'  '942',301
3495,'413'  '837'  '942',309
3496,'276'  '413'  '837'  '942',304
3497,'276'  '837'  '942',313
3498,'299'  '413'  '634'  '783'  '942',295
3499,'276'  '299'  '413'  '634'  '783'  '942',291
3500,'276'  '299'  '634'  '783'  '942',298
3501,'413'  '634'  '783'  '942',305
3502,'276'  '413'  '634'  '783'  '942',300
3503,'276'  '634'  '783'  '942',308
3504,'299'  '413'  '783'  '942',307
3505,'276'  '299'  '413'  '783'  '942',301
3506,'276'  '299'  '783'  '942',308
3507,'413'  '783'  '942',318
3508,'276'  '413'  '783'  '942',311
3509,'276'  '783'  '942',319
3510,'299'  '413'  '634'  '942',307
3511,'276'  '299'  '413'  '634'  '942',303
3512,'276'  '299'  '634'  '942',311
3513,'299'  '413'  '942',320
3514,'276'  '299'  '413'  '942',314
3515,'276'  '299'  '942',322
3516,'634'  '942',334
3517,'276'  '634'  '942',323
3518,'413'  '634'  '942',319
3519,'276'  '413'  '634'  '942',314
3520,'276'  '413'  '942',326
3521,'276'  '942',363
3522,'192'  '281',110
3523,'281'  '494'  '690',202
3524,'281'  '494'  '690'  '70',198
3525,'125'  '281'  '494'  '690',202
3526,'125'  '281'  '494'  '690'  '70',198
3527,'281'  '690'  '70',203
3528,'125'  '281'  '690'  '70',202
3529,'125'  '281'  '690',206
3530,'125'  '281'  '494',206
3531,'125'  '281'  '494'  '70',202
3532,'125'  '281'  '70',207
3533,'281'  '70',215
3534,'281'  '494',215
3535,'281'  '494'  '70',202
3536,'311'  '339',103
3537,'311'  '472',106
3538,'229'  '311'  '812',155
3539,'311'  '795'  '812',155
3540,'229'  '311'  '795'  '812',152
3541,'229'  '311',168
3542,'229'  '311'  '795',160
3543,'311'  '795',169
3544,'193'  '483',103
3545,'276'  '483',105
3546,'120'  '483'  '509'  '513'  '840'  '97',292
3547,'120'  '438'  '483'  '509'  '513'  '840',292
3548,'120'  '438'  '483'  '509'  '513'  '840'  '97',291
3549,'120'  '483'  '509'  '513'  '97',297
3550,'120'  '438'  '483'  '509'  '513'  '97',296
3551,'120'  '438'  '483'  '509'  '513',298
3552,'483'  '509'  '513'  '840'  '97',301
3553,'438'  '483'  '509'  '513'  '840',301
3554,'438'  '483'  '509'  '513'  '840'  '97',300
3555,'483'  '509'  '513'  '97',306
3556,'438'  '483'  '509'  '513'  '97',305
3557,'438'  '483'  '509'  '513',307
3558,'120'  '438'  '483'  '509'  '840',300
3559,'120'  '438'  '483'  '509'  '840'  '97',299
3560,'120'  '483'  '509'  '840'  '97',301
3561,'120'  '438'  '483'  '509',307
3562,'120'  '483'  '509'  '97',307
3563,'120'  '438'  '483'  '509'  '97',305
3564,'438'  '483'  '509'  '840',309
3565,'438'  '483'  '509'  '840'  '97',308
3566,'483'  '509'  '840'  '97',310
3567,'483'  '509'  '97',316
3568,'438'  '483'  '509',316
3569,'438'  '483'  '509'  '97',314
3570,'483'  '513'  '840'  '97',312
3571,'438'  '483'  '513'  '840',312
3572,'438'  '483'  '513'  '840'  '97',311
3573,'483'  '513'  '97',318
3574,'438'  '483'  '513'  '97',317
3575,'438'  '483'  '513',319
3576,'120'  '483'  '513'  '840'  '97',302
3577,'120'  '438'  '483'  '513'  '840',302
3578,'120'  '438'  '483'  '513'  '840'  '97',301
3579,'120'  '483'  '513'  '97',308
3580,'120'  '438'  '483'  '513'  '97',307
3581,'120'  '438'  '483'  '513',309
3582,'120'  '438'  '483'  '840',310
3583,'120'  '438'  '483'  '840'  '97',309
3584,'120'  '483'  '840'  '97',311
3585,'120'  '483'  '97',318
3586,'120'  '438'  '483',318
3587,'120'  '438'  '483'  '97',316
3588,'438'  '483'  '840',320
3589,'438'  '483'  '840'  '97',319
3590,'483'  '840'  '97',321
3591,'483'  '97',328
3592,'438'  '483'  '97',326
3593,'438'  '483',329
3594,'31'  '595'  '721'  '885',110
3595,'548'  '595'  '721'  '885',110
3596,'31'  '548'  '595'  '721'  '885',108
3597,'31'  '595'  '721',115
3598,'31'  '548'  '595'  '721',113
3599,'548'  '595'  '721',116
3600,'31'  '721'  '885',119
3601,'31'  '548'  '721'  '885',115
3602,'31'  '548'  '721',121
3603,'548'  '721',130
3604,'548'  '721'  '885',123
3605,'385'  '721'  '731'  '885',291
3606,'283'  '385'  '721'  '731'  '885',288
3607,'385'  '721'  '731'  '790'  '885',287
3608,'283'  '385'  '721'  '731'  '790'  '885',284
3609,'283'  '385'  '721'  '731'  '790',288
3610,'283'  '385'  '721'  '731',293
3611,'721'  '731'  '790',298
3612,'283'  '721'  '731'  '790',294
3613,'721'  '731'  '790'  '885',293
3614,'283'  '721'  '731'  '885',293
3615,'283'  '721'  '731'  '790'  '885',289
3616,'283'  '721'  '731',299
3617,'385'  '721'  '790'  '885',298
3618,'283'  '385'  '721'  '790',298
3619,'283'  '385'  '721'  '790'  '885',294
3620,'283'  '385'  '721',304
3621,'385'  '721'  '885',304
3622,'283'  '385'  '721'  '885',299
3623,'283'  '721'  '790',305
3624,'721'  '790'  '885',305
